1574710945,2,-182.5500000000063,-218.45000000001048
1574710946,2,-182.50000000000628,-219.85000000001057
1574710947,2,-182.35000000000625,-221.1500000000107
1574710948,2,-182.1500000000062,-222.5000000000108
1574710949,2,-181.90000000000614,-223.8500000000109
1574710950,2,-181.55000000000607,-225.10000000001105
1574710951,2,-181.10000000000596,-226.40000000001118
1574710952,2,-180.65000000000586,-227.7000000000113
1574710953,2,-180.15000000000575,-228.90000000001146
1574710954,3,-179.5500000000056,-230.10000000001162
